Epoch 63, Average Loss: 0.006398114694356918, Training Accuracy: 0.86012, Testing Accuracy 0.8646
Epoch 64, Average Loss: 0.006376579568982125, Training Accuracy: 0.86028, Testing Accuracy 0.8655
Epoch 65, Average Loss: 0.006313851077258587, Training Accuracy: 0.86218, Testing Accuracy 0.8695
Epoch 66, Average Loss: 0.006269663101732731, Training Accuracy: 0.86186, Testing Accuracy 0.8731
Epoch 67, Average Loss: 0.006217775111496448, Training Accuracy: 0.86322, Testing Accuracy 0.8748
Epoch 68, Average Loss: 0.006221451899409294, Training Accuracy: 0.86542, Testing Accuracy 0.8728
Epoch 69, Average Loss: 0.006191637432873249, Training Accuracy: 0.8644, Testing Accuracy 0.8735
Epoch 70, Average Loss: 0.006198090265095234, Training Accuracy: 0.86498, Testing Accuracy 0.8673
Epoch 71, Average Loss: 0.006062255953848362, Training Accuracy: 0.86772, Testing Accuracy 0.8644
Epoch 72, Average Loss: 0.006099075189232826, Training Accuracy: 0.86684, Testing Accuracy 0.8782
Epoch 73, Average Loss: 0.006114737604856491, Training Accuracy: 0.86618, Testing Accuracy 0.8729
Epoch 74, Average Loss: 0.005974969516098499, Training Accuracy: 0.87018, Testing Accuracy 0.8734
Epoch 75, Average Loss: 0.006009716085791588, Training Accuracy: 0.866, Testing Accuracy 0.8753
Epoch 76, Average Loss: 0.005989575522243977, Training Accuracy: 0.86888, Testing Accuracy 0.8685
Epoch 77, Average Loss: 0.006010174442529679, Training Accuracy: 0.8669, Testing Accuracy 0.8792
Epoch 78, Average Loss: 0.006042592054307461, Training Accuracy: 0.86766, Testing Accuracy 0.8786
Epoch 79, Average Loss: 0.006039025081694126, Training Accuracy: 0.86806, Testing Accuracy 0.8704
Epoch 80, Average Loss: 0.005992233383208513, Training Accuracy: 0.86942, Testing Accuracy 0.8706
Epoch 81, Average Loss: 0.005951685771048069, Training Accuracy: 0.86958, Testing Accuracy 0.8616
Epoch 82, Average Loss: 0.005878923165798187, Training Accuracy: 0.8698, Testing Accuracy 0.8764
Epoch 83, Average Loss: 0.005894467604458332, Training Accuracy: 0.87142, Testing Accuracy 0.8794
Epoch 84, Average Loss: 0.005757501686811447, Training Accuracy: 0.87342, Testing Accuracy 0.8799
Epoch 85, Average Loss: 0.005876575773954391, Training Accuracy: 0.8728, Testing Accuracy 0.8769
Epoch 86, Average Loss: 0.0058402170068025585, Training Accuracy: 0.87162, Testing Accuracy 0.8748
Epoch 87, Average Loss: 0.005825800138711929, Training Accuracy: 0.87326, Testing Accuracy 0.8783
Epoch 88, Average Loss: 0.005766935670673847, Training Accuracy: 0.87366, Testing Accuracy 0.8715
Epoch 89, Average Loss: 0.005699509461969138, Training Accuracy: 0.87538, Testing Accuracy 0.8708
Epoch 90, Average Loss: 0.0057159285727143285, Training Accuracy: 0.87284, Testing Accuracy 0.8716
Epoch 91, Average Loss: 0.005730761559009552, Training Accuracy: 0.87526, Testing Accuracy 0.8673
Epoch 92, Average Loss: 0.0056438133461773395, Training Accuracy: 0.87562, Testing Accuracy 0.876
Epoch 93, Average Loss: 0.005642904381901025, Training Accuracy: 0.87536, Testing Accuracy 0.8748
Epoch 94, Average Loss: 0.005662942672222853, Training Accuracy: 0.87518, Testing Accuracy 0.8857
Epoch 95, Average Loss: 0.0056980220115184785, Training Accuracy: 0.87722, Testing Accuracy 0.8758
Epoch 96, Average Loss: 0.005682848261296749, Training Accuracy: 0.87676, Testing Accuracy 0.8761
Epoch 97, Average Loss: 0.005684170677065849, Training Accuracy: 0.87492, Testing Accuracy 0.8814
Epoch 98, Average Loss: 0.00558561893761158, Training Accuracy: 0.87816, Testing Accuracy 0.8768
Epoch 99, Average Loss: 0.005640697729736566, Training Accuracy: 0.87702, Testing Accuracy 0.8722
Epoch 100, Average Loss: 0.005715971658229828, Training Accuracy: 0.87324, Testing Accuracy 0.8815
