Epoch 53, Average Loss (train) : 0.44324829496383666, Training Accuracy: 0.84806, Testing Accuracy 0.8448
Epoch 54, Average Loss (train) : 0.4433309824180603, Training Accuracy: 0.84858, Testing Accuracy 0.8586
Epoch 55, Average Loss (train) : 0.4375448857688904, Training Accuracy: 0.84974, Testing Accuracy 0.8642
Epoch 56, Average Loss (train) : 0.43539229511260985, Training Accuracy: 0.84978, Testing Accuracy 0.8651
Epoch 57, Average Loss (train) : 0.4339811283683777, Training Accuracy: 0.849, Testing Accuracy 0.8553
Epoch 58, Average Loss (train) : 0.43969384464263916, Training Accuracy: 0.85016, Testing Accuracy 0.8559
Epoch 59, Average Loss (train) : 0.4325150332546234, Training Accuracy: 0.85156, Testing Accuracy 0.8657
Epoch 60, Average Loss (train) : 0.4271854431152344, Training Accuracy: 0.85312, Testing Accuracy 0.862
Epoch 61, Average Loss (train) : 0.42249022127151487, Training Accuracy: 0.8542, Testing Accuracy 0.8636
Epoch 62, Average Loss (train) : 0.4296646431016922, Training Accuracy: 0.8534, Testing Accuracy 0.8618
Epoch 63, Average Loss (train) : 0.4213781485748291, Training Accuracy: 0.85558, Testing Accuracy 0.8693
Epoch 64, Average Loss (train) : 0.4173117099952698, Training Accuracy: 0.85624, Testing Accuracy 0.8611
Epoch 65, Average Loss (train) : 0.42340244980812075, Training Accuracy: 0.85452, Testing Accuracy 0.8663
